player_id,player_name,age,state,visits,theoretical_win,actual_win,loyalty_tier
1038,Eric Hester,40,PA,6,11467.71,9530.4,Bronze
1039,Paul Bradshaw,75,CA,30,22093.68,19765.16,Platinum
1040,Jose Jones,21,TX,28,8971.82,11161.81,Bronze
1041,Michael Johnson,33,TX,57,16227.48,11364.3,Bronze
1042,Richard Harris,47,CT,41,7689.05,6141.96,Bronze
1043,Joshua Reed,62,FL,9,12172.27,13577.7,Bronze
1044,Andre Figueroa,52,MA,44,6178.73,4949.01,Gold
1045,Lisa Noble,69,MA,32,13996.74,13189.15,Gold
1046,Terry Bailey,22,CT,58,24064.94,20480.93,Bronze
1047,Kara Huff,37,NJ,3,7591.87,6611.79,Silver
1048,Alicia Carroll,74,NJ,59,15278.15,15302.71,Gold
1049,Tyler Walsh,39,CT,23,7038.3,8762.4,Bronze
1050,Tiffany Frank,26,MA,2,13320.27,12902.94,Gold
1051,David Reed,76,MA,32,14858.15,11121.5,Silver
1052,Scott Hernandez,25,TX,59,6129.78,7244.69,Bronze
1053,Laura Hoover,68,NY,52,24587.24,23094.66,Silver
1054,Jamie Campbell,26,NJ,16,20899.03,18651.72,Silver
1055,Tyler Meza,79,FL,16,1115.3,1176.12,Silver
1056,Blake Simpson,39,CA,36,513.04,516.76,Gold
1057,Kevin Levine,53,MA,20,16164.8,13006.52,Bronze
1058,Victoria Jones,21,NY,40,9729.71,12279.26,Bronze
1059,Bonnie Murray,43,FL,11,8592.55,6599.8,Platinum
1060,Thomas Wallace,36,CT,31,21945.75,18758.46,Platinum
1061,Jodi Howell,69,NJ,26,24555.99,24801.1,Silver
1062,Aaron Hayes,25,FL,2,24906.72,31861.96,Gold
1063,Steven Jimenez,61,PA,37,22077.64,17954.07,Gold
1064,Joseph Mcguire,40,CT,35,17538.91,21186.95,Bronze
1065,Lisa Reynolds,72,NY,24,10172.25,12538.95,Silver
1066,Joseph Ferrell,60,TX,11,23397.31,27403.03,Silver
1067,Rachel Castro,45,CA,20,14559.1,13443.43,Bronze
1068,Samantha Lopez,66,FL,35,24344.23,21188.06,Gold
1069,Devin Jones,61,PA,18,12191.78,11814.5,Bronze
1070,Kristina Montgomery,41,NJ,36,17833.26,15021.84,Gold
1071,Peter Proctor,27,TX,48,18687.64,20365.41,Bronze
1072,Monica Flores,32,CT,3,16474.56,17149.77,Gold
1073,Randall Alexander,66,TX,59,9256.12,7952.13,Bronze
1074,Alexandria Cox,74,CT,30,24327.96,22767.53,Platinum
1075,Brian Moore,50,MA,8,15815.35,18612.88,Bronze
1076,Benjamin Boyd,25,PA,33,14464.91,14399.97,Platinum
1077,Samuel Wilkins,69,MA,48,7091.23,5067.32,Gold
1078,Carol Taylor,66,CA,17,24864.31,24415.92,Platinum
1079,Kristin Griffin,57,TX,53,22099.0,25383.6,Silver
1080,Sierra Fleming,51,PA,24,8335.68,8599.58,Bronze
1081,Michael Mason,41,NY,35,24510.26,18265.24,Bronze
1082,Trevor Watson,38,PA,32,21293.3,18954.3,Silver
1083,Sean Stevens,23,NY,25,9927.82,11978.19,Silver
1084,George Hamilton,67,NY,40,1853.36,1529.67,Bronze
1085,Anne Porter,62,NY,22,9030.3,7698.31,Bronze
1086,Michael Le,29,NJ,2,8131.51,9832.64,Gold
1087,Jasmine Nguyen,62,FL,43,17751.88,18314.47,Silver
1088,Andrea Stevens,44,PA,55,10552.54,9008.96,Silver
1089,Cynthia Black,56,TX,13,2131.7,1498.82,Silver
1090,Jason Carroll DDS,66,TX,45,4937.42,3666.35,Bronze
1091,Benjamin Coffey,35,PA,16,1364.14,1680.58,Gold
1092,Courtney Ruiz,42,MA,28,14513.74,13977.96,Bronze
1093,Alan Hernandez,42,MA,51,11693.39,11992.59,Bronze
1094,Teresa Brennan,62,NY,58,21524.07,18298.71,Silver
1095,Patrick Richardson,57,NJ,6,7651.31,7821.55,Silver
1096,Elizabeth Ward,64,CA,33,20713.94,17874.59,Bronze
1097,Amy Mason,52,NJ,5,11485.9,13842.97,Gold
1098,Ruth Cox,60,PA,52,10342.71,11580.81,Bronze
1099,Michael Wagner,62,CT,52,3405.36,4364.73,Silver
1100,Drew Allen,39,FL,30,1122.58,1054.43,Silver
1101,Eric Dunn,46,NJ,28,18626.66,15842.28,Silver
1102,William Williams,32,NJ,53,2113.74,2022.83,Silver
1103,Eric Cox,67,NY,53,1549.02,1934.92,Bronze
1104,Wendy Weber,45,PA,34,6070.71,4591.42,Platinum
1105,Neil Carlson,59,TX,40,23371.89,25310.88,Bronze
1106,Shane Smith,32,MA,5,15331.85,14592.24,Silver
1107,Tara Vang,77,CT,26,8963.72,10350.48,Platinum
1108,Amanda Key,69,MA,29,2990.21,2175.68,Bronze
1109,Elizabeth Gonzalez,32,TX,30,21400.97,24016.06,Bronze
1110,Brianna Bradford,59,TX,16,2536.07,2523.31,Bronze
1111,Megan Hoffman,43,FL,36,4412.73,4237.59,Bronze
1112,Jason Lewis,54,NY,58,15434.67,16685.75,Bronze
1113,Kristopher Clark,78,NY,52,9427.85,10139.8,Silver
1114,Stephanie Smith,24,NY,32,21426.6,23466.76,Gold
1115,Randy Owens DDS,69,TX,16,1857.16,2015.86,Bronze
1116,Heather Shaw,44,CT,28,14685.81,18564.89,Silver
1117,Mr. Shaun Finley MD,53,NJ,12,9765.43,10604.99,Bronze
1118,Matthew Edwards,21,NJ,51,20533.92,22085.54,Gold
1119,Daniel Taylor,49,PA,33,16321.97,13449.48,Silver
1120,Angela Wiley,71,PA,13,5443.27,5042.4,Silver
1121,Dean Larson,28,NY,50,17106.87,12705.5,Silver
1122,Stephen Johnson,54,MA,29,21137.4,15091.32,Silver
1123,Daniel Stuart,73,CA,51,7118.18,5487.4,Silver
1124,Sonya Hanna,56,PA,50,15760.68,19330.21,Platinum
1125,Stephanie Martinez,30,CA,25,20106.68,17477.14,Silver
1126,Ryan Carr,69,MA,37,18790.31,22249.62,Bronze
1127,Michael Armstrong,59,FL,35,10374.18,9577.56,Bronze
1128,David Baker,57,NJ,32,8586.01,10805.1,Silver
1129,Craig Ramirez,45,NJ,12,10781.95,12404.88,Bronze
1130,Jasmine Rodgers,40,PA,35,2667.78,3312.13,Bronze
1131,Brandy Oconnell,39,CT,48,9801.49,8611.4,Silver
1132,Wendy Fuentes,39,NJ,49,1431.78,1825.7,Platinum
1133,Bethany Simon,51,CA,12,8937.14,11386.64,Gold
1134,Eric Hill,73,TX,52,14378.6,15515.98,Bronze
1135,Krystal Long,79,FL,5,7400.95,6640.12,Gold
1136,Nicolas Franklin,77,NY,21,18834.13,22129.11,Silver
1137,Nicholas Atkinson,59,FL,39,2371.03,2363.09,Silver
1138,Jill Reese,43,NJ,14,13783.27,13299.73,Platinum
1139,Frank Jones,32,CT,29,8837.78,6807.21,Platinum
1140,Shirley Hall,58,NJ,9,19061.61,20413.67,Bronze
1141,Sarah Ortiz,29,CT,7,10709.68,8927.01,Gold
1142,Meghan Davis,49,PA,50,22308.23,17578.06,Bronze
1143,Stephen Scott,65,PA,37,5907.38,6195.56,Gold
1144,Bethany Lyons,27,FL,1,22020.96,18541.89,Silver
1145,Dr. Curtis Banks Jr.,51,FL,25,14838.03,13504.55,Silver
1146,Sara Castillo,47,NY,19,19450.96,20132.57,Platinum
1147,Ruth Robinson,23,MA,10,22668.22,17380.14,Bronze
1148,Donald Carr,78,NY,45,382.71,375.51,Gold
1149,Thomas Villarreal,61,CT,20,3058.57,2356.68,Bronze
1150,John Griffin,77,FL,39,18676.52,19610.74,Silver
1151,Travis Mcdaniel,73,TX,49,2163.99,2200.83,Bronze
1152,Elizabeth Graham,65,MA,6,20072.52,25828.12,Silver
1153,Brandon Smith,31,NJ,47,22289.46,22659.93,Silver
1154,Dana Malone DDS,77,CT,37,6399.46,7149.78,Bronze
1155,Michelle Weber,35,CA,18,4238.76,3518.53,Silver
1156,Christian Pham,23,CT,31,24896.2,27837.81,Silver
1157,Timothy Turner,30,NY,16,18453.81,23051.62,Silver
1158,Paula Ramsey,44,NY,32,1540.81,1443.3,Bronze
1159,Erika Lewis,56,PA,28,8457.94,6781.64,Gold
1160,George Day,48,NJ,26,9767.88,8181.94,Silver
1161,Melissa Jones,47,MA,28,9072.59,7765.86,Bronze
1162,Virginia Boyd,73,CT,54,904.67,785.13,Platinum
1163,Jennifer Nguyen,33,PA,20,15109.27,13032.87,Platinum
1164,Tonya Smith,71,CT,46,1997.39,2525.34,Gold
1165,Brittany Kelley,76,NY,5,15374.04,14619.88,Gold
1166,Aaron Elliott,75,CA,30,21664.99,15753.29,Bronze
1167,Jasmine Pierce,52,MA,56,9473.94,11239.24,Gold
1168,James Herrera,45,PA,47,3845.38,4062.56,Gold
1169,Austin Robertson,53,NJ,22,20746.19,21606.1,Bronze
1170,Holly Cortez,41,NY,34,1016.86,793.47,Bronze
1171,Karl Richardson,25,PA,48,1976.44,2203.79,Gold
1172,Elizabeth Kaiser,43,TX,31,18772.78,23426.54,Bronze
1173,Michael Nelson,39,PA,37,18180.41,20984.71,Bronze
1174,Melissa Howell,21,PA,17,6103.01,5022.94,Bronze
1175,Patricia Reeves,21,FL,51,6940.82,5721.57,Bronze
1176,Dawn Marquez,51,FL,49,18949.28,13797.69,Gold
1177,Sean Wilson,74,MA,8,652.4,651.68,Bronze
1178,Tina Peterson,21,CA,54,20801.15,18402.08,Silver
1179,Jeanette Garrison,79,NJ,54,24202.55,18225.61,Platinum
1180,Marc Villarreal,43,FL,57,14789.9,14612.83,Gold
1181,Loretta Payne,31,FL,15,19638.24,21280.33,Bronze
1182,Christopher Steele,54,MA,51,22588.46,24177.74,Bronze
1183,Robert Thompson,35,CA,38,15241.39,16490.98,Bronze
1184,Melissa Wilson,77,NJ,27,2365.95,2687.34,Silver
1185,Lisa Hebert,50,PA,38,11327.67,14117.48,Bronze
1186,Melissa Lee,49,MA,55,13137.7,14695.64,Bronze
1187,Christie Leonard,37,PA,4,11537.74,13905.92,Bronze
1188,Amanda Hall,73,NJ,20,11532.48,14854.06,Bronze
1189,Adriana Johnson,68,CA,2,8285.92,8949.13,Platinum
1190,Morgan Gonzalez,75,NJ,11,1989.0,1546.11,Silver
1191,Kelli Costa,28,FL,16,3882.38,3041.05,Gold
1192,Tina Barnes,23,MA,4,4628.81,4200.18,Silver
1193,Rachel Underwood,70,FL,32,11901.64,13098.17,Bronze
1194,Maureen Woodward,38,PA,58,5673.84,6769.31,Silver
1195,Joseph Owens,26,MA,28,8755.72,6296.09,Silver
1196,Jamie Walker,66,CT,1,13407.15,12248.7,Silver
1197,Jerry Meyer,47,FL,34,3305.84,2968.84,Silver
1198,Peter Rose,42,NY,9,2398.04,2370.91,Silver
1199,David James,68,PA,47,12840.26,10197.56,Bronze
1200,Dylan Harris,69,CA,17,6994.25,8279.24,Silver
1201,Cory Castillo,76,TX,35,4694.57,3875.88,Silver
1202,Joanna Mckinney,34,TX,22,5979.3,6911.91,Silver
1203,Tina Chang,79,CT,24,18040.85,13303.41,Gold
1204,Mr. Richard Collins Jr.,43,FL,56,3414.61,3798.07,Silver
1205,David Williams,38,CA,46,18765.44,13478.9,Silver
1206,Lucas Jones,45,PA,58,8918.25,8367.98,Bronze
1207,Breanna Thompson,77,PA,55,9494.38,6760.4,Silver
1208,Shannon Taylor,64,CT,17,5365.06,4809.77,Gold
1209,Mr. Jorge Coleman,24,PA,25,22274.13,23524.94,Bronze
1210,Michele Pineda,67,NJ,10,19750.36,19731.9,Platinum
1211,Dustin Matthews,28,PA,36,13473.95,14176.01,Silver
1212,William Ferrell,61,MA,40,10848.32,8424.24,Gold
1213,Joshua Brown,54,PA,37,9140.75,9941.03,Silver
1214,Michael Romero,57,NY,59,8966.81,11584.3,Bronze
1215,David Grant,26,NJ,57,6006.95,4571.71,Gold
1216,Mary Smith,31,PA,6,6224.35,4957.13,Gold
1217,Jackson Rogers,75,TX,30,4417.0,5468.51,Bronze
1218,Daniel Moore,56,PA,3,13160.33,12452.81,Bronze
1219,Carrie Lawson,48,NJ,24,2889.77,2712.67,Platinum
1220,Alan Stevens,69,TX,11,21651.13,25770.11,Silver
1221,Patrick Jones,77,CA,30,4355.1,4795.77,Silver
1222,Jackie Johnson,71,TX,2,13963.4,14563.37,Platinum
1223,Taylor Cross,74,MA,45,19260.37,15643.78,Silver
1224,Mario Mathews,69,TX,4,10693.37,10742.2,Gold
1225,Gina Grant,58,TX,12,2959.44,3155.86,Gold
1226,Vincent Rodriguez,33,PA,37,12701.99,15994.46,Silver
1227,Jeremy Sampson,76,FL,43,14887.69,13719.58,Gold
1228,Annette Gonzalez,22,TX,10,13760.22,14164.13,Gold
1229,Carlos Vargas,57,FL,13,17145.83,12906.02,Silver
1230,Allen Delgado,44,FL,9,19029.67,20121.65,Silver
1231,Christopher Blackwell,69,CA,38,10354.84,9415.87,Bronze
1232,Alexander Hebert,34,NJ,5,20782.42,26581.05,Bronze
1233,John Parker,32,PA,53,18298.6,23111.21,Bronze
1234,Tracey Walker,42,CT,35,1755.76,2009.77,Bronze
1235,Angela Hall,34,NJ,29,3580.33,4214.62,Gold
1236,Kevin Williams,39,CA,30,20645.8,16761.15,Silver
1237,Michelle Gomez,45,MA,59,15880.59,19766.88,Silver
1238,Amanda Harper,28,MA,45,14748.84,16368.1,Bronze
1239,Steven Avery,58,NY,39,17873.18,22159.18,Bronze
1240,Sherry Hampton,45,MA,33,18715.47,18746.02,Gold
1241,Timothy Brooks,34,CA,17,22499.41,20931.98,Silver
1242,Angela Reynolds,71,MA,53,22671.16,24361.13,Bronze
1243,Erica Brown,28,MA,6,23501.82,25302.64,Gold
1244,Greg Carney,49,PA,42,3567.87,4197.3,Silver
1245,Timothy Nunez,56,FL,33,13383.18,16546.1,Silver
1246,Catherine Carroll,57,NY,29,3876.7,3438.76,Silver
1247,Taylor Peterson,42,MA,27,18624.26,13411.69,Bronze
1248,Jesse Alvarado,53,TX,2,19085.22,23399.61,Gold
1249,Heather Brooks,56,NY,54,20549.31,15748.56,Platinum
1250,Cassidy Johnson,49,NY,45,3274.47,3072.67,Platinum
1251,Christopher Evans,32,MA,8,3832.94,3210.28,Bronze
1252,Kristen Simmons,71,TX,45,18028.91,19555.75,Bronze
1253,William Barker,25,FL,36,13613.84,11586.46,Bronze
1254,Dr. Leslie Black,58,PA,20,4621.78,5754.44,Bronze
1255,Kathleen Jensen,66,CA,6,10081.2,9851.38,Silver
1256,Elizabeth Riley,38,MA,43,3918.45,4121.18,Gold
1257,Dorothy Jones,63,MA,25,6474.79,7353.14,Bronze
1258,Luke Cox,25,NJ,12,2645.1,3309.68,Bronze
1259,Michael Hayes,69,NY,56,673.26,734.41,Silver
1260,Jacqueline Smith,71,CA,28,9423.44,6986.09,Platinum
1261,Veronica Hudson,31,NJ,29,2695.75,3246.39,Bronze
1262,Julie Arroyo,46,NY,23,3157.99,2657.59,Gold
1263,Michael Boyd,21,PA,46,4739.39,5699.09,Gold
1264,Christopher Brown,41,NY,54,13019.07,13732.06,Bronze
1265,April Miller,72,PA,47,1463.56,1318.84,Silver
1266,Stacey Smith,72,NJ,57,215.34,193.83,Bronze
1267,Richard Patterson,27,PA,25,21601.6,27083.57,Silver
1268,Karen Harris,63,FL,18,12072.84,15104.0,Silver
1269,Brian Maxwell,44,CT,59,11365.74,8916.58,Gold
1270,Thomas Huber,44,NJ,25,12509.36,11900.85,Silver
1271,Juan Miller,42,CT,33,9123.61,9564.76,Gold
1272,Jeremy Sparks,27,NJ,26,426.05,467.86,Platinum
1273,Jose Brooks,74,FL,17,24030.65,18964.93,Silver
1274,Joshua Ramos,69,MA,22,2225.21,2888.6,Silver
1275,Luis Flores,43,PA,7,14925.09,11048.24,Bronze
1276,Christina Ellis,52,PA,51,5326.65,6598.83,Bronze
1277,Brandon Waters,50,FL,30,4848.12,3500.0,Bronze
1278,Ashley Smith,34,NJ,16,14164.54,10473.62,Gold
1279,Lynn Anderson,48,NY,51,11386.89,11553.53,Gold
1280,Micheal Shelton,24,MA,49,10079.0,10439.67,Bronze
1281,Ann Carrillo,23,NJ,1,8425.63,6279.64,Silver
1282,Nathan Small,54,CA,32,6880.32,8520.99,Silver
1283,Joshua Phillips,70,MA,33,732.12,581.08,Bronze
1284,Brian Fitzpatrick,75,NJ,7,16507.21,11823.41,Gold
1285,Victor Reed,28,CA,3,5853.76,6457.49,Silver
1286,Rachael Taylor,71,TX,54,8547.85,8904.01,Silver
1287,Patricia Jones,55,MA,33,13962.37,15812.21,Gold
1288,Eric Greene MD,66,FL,32,24719.35,26249.93,Bronze
1289,Kristin Gilmore,74,TX,43,24069.97,30488.13,Silver
1290,Christopher Jones,38,FL,21,10219.17,9139.96,Silver
1291,Maxwell Arellano,41,PA,7,15867.7,18113.66,Bronze
1292,Laura Moreno,49,NJ,19,3157.14,3870.23,Gold
1293,Sara Graham,40,TX,18,22327.53,26580.17,Bronze
1294,Brianna Willis,43,TX,11,6559.64,6086.14,Bronze
1295,Jennifer Meyer,58,MA,55,6774.78,7279.43,Silver
1296,Christopher Fuller,55,TX,30,9132.67,11111.18,Bronze
1297,Shawn Mills,37,CT,52,24366.23,28456.23,Gold
1298,Mr. Jason White,43,CA,10,14187.84,18319.63,Silver
1299,Shannon Byrd,34,CA,32,10687.82,7625.56,Gold
1300,Jonathan Adams,59,FL,9,13586.69,14674.81,Bronze
